movie_title,overview,year,rating,country
Джентльмены ,Один ушлый американец ещё со студенческих лет приторговывал наркотиками; а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю; правой руке американца; и предлагает тому купить киносценарий; в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея; китайской диаспоры; чернокожих спортсменов и даже русского олигарха.,2019,8.576,Великобритания
Клаус ,Владелец почтовой империи; чтобы научить ленивого отпрыска по имени Джеспер уму-разуму; отправляет его на крайний север в город Смиренсбург. Тот должен организовать там почтовое отделение и за год обработать не менее 6000 писем. Прибыв на место; парень оказывается в зоне боевых действий: два семейных клана; так уж исторически сложилось; питают взаимную ненависть и свято чтут многовековую традицию при любой возможности мутузить друг друга и делать пакости. Разумеется; в такой обстановке не до писем; и почтовое отделение давно превратилось в курятник. Уже практически отчаявшись; Джеспер посещает лесного отшельника по имени Клаус; и их знакомство положит начало удивительным событиям.,2019,8.666,Испания
Твоё имя ,История о парне из Токио и девушке из провинции; которые обнаруживают; что между ними существует странная и необъяснимая связь. Во сне они меняются телами и проживают жизни друг друга. Но однажды эта способность исчезает так же внезапно; как появилась. Таки решает во что бы то ни стало отыскать Мицуху.,2016,8.305,Япония
1+1,Пострадав в результате несчастного случая; богатый аристократ Филипп нанимает в помощники человека; который менее всего подходит для этой работы; — молодого жителя предместья Дрисса; только что освободившегося из тюрьмы. Несмотря на то; что Филипп прикован к инвалидному креслу; Дриссу удается привнести в размеренную жизнь аристократа дух приключений.,2011,8.807,Франция
Хатико: Самый верный друг ,В основе сюжета — реальная история; случившаяся в Японии и потрясшая весь мир. Однажды; возвращаясь с работы; профессор колледжа нашел на вокзале симпатичного щенка породы акита-ину. Профессор и Хатико стали верными друзьями. Каждый день пес провожал и встречал Профессора на вокзале. И даже потеря хозяина не остановила пса в его надежде; что друг вернется.,2008,8.339,Великобритания
Ип Ман ,Ип Ман — признанный мастер кунг-фу; живущий в Фошане; городе; славном своими школами боевых искусств. Ип Ман практикует вин-чун и; хотя является сильнейшим бойцом города; своей школы у него нет; и он не берет учеников. Дома он проводит лишь легкие спарринги с приятелями. Проходят годы; Китай захватывают воинственные японцы; и Ип Ман оказывается одним из немногих; кто даже в жесточайших условиях оккупации не забывает о чести; достоинстве и; конечно же; мудрости; которую несет в себе кунг-фу.,2008,8.258,Гонконг
Ходячий замок ,Злая ведьма заточила 18-летнюю Софи в тело старухи. Девушка-бабушка бежит из города куда глаза глядят и встречает удивительный дом на ножках; где знакомится с могущественным волшебником Хаулом и демоном Кальцифером. Кальцифер должен служить Хаулу по договору; условия которого он не может разглашать. Девушка и демон решают помочь друг другу избавиться от злых чар.,2004,8.277999999999999,Япония
Хористы ,Франция; 1949 год. Отчаявшись найти работу; учитель музыки Клемент Матье попадает в интернат для трудных подростков. Там он видит; к каким жестоким «воспитательным мерам» прибегает ректор этого заведения Рашан. Чем больше издевается Рашан над мальчиками; тем агрессивнее они становятся.Добродушного по натуре Матье возмущают эти методы; но он не в состоянии открыто протестовать. Но однажды ему; автору многочисленных музыкальных произведений; которые он скромно прячет в своей комнате; приходит в голову замечательная идея: организовать школьный хор.,2004,8.277000000000001,Франция
Властелин колец: Возвращение Короля ,Последняя часть трилогии о Кольце Всевластия и о героях; взявших на себя бремя спасения Средиземья. Повелитель сил Тьмы Саурон направляет свои бесчисленные рати под стены Минас-Тирита; крепости Последней Надежды. Он предвкушает близкую победу; но именно это и мешает ему заметить две крохотные фигурки — хоббитов; приближающихся к Роковой Горе; где им предстоит уничтожить Кольцо Всевластия. Улыбнется ли им счастье?,2003,8.623,Новая Зеландия
Пианист ,Фильм снят по автобиографии Владислава Шпильмана; одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор; пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто; запрещают работать; унижают; заставляют носить отличительные повязки; а через некоторое время отправляют в концлагерь.,2002,8.462,Польша
Властелин колец: Две крепости ,Братство распалось; но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены доверить свои жизни Голлуму; который взялся провести их к вратам Мордора. Громадная Армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.,2002,8.566,Новая Зеландия
Унесённые призраками ,Тихиро с мамой и папой переезжают в новый дом. Заблудившись по дороге; они оказываются в странном пустынном городе; где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней; став пленниками злой колдуньи Юбабы. Теперь; оказавшись одна среди волшебных существ и загадочных видений; Тихиро должна придумать; как избавить своих родителей от чар коварной старухи.,2001,8.434,Япония
Гарри Поттер и философский камень ,Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли; едва ему исполнился год; а от дяди и тёти; взявших сироту на воспитание; достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость; неожиданно появившийся на пороге; приносит письмо; из которого мальчик узнаёт; что на самом деле он — волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни; где его ждут невероятные приключения; верные друзья и самое главное — ключ к разгадке тайны смерти его родителей.,2001,8.203,Великобритания
Большой куш ,Четырехпалый Френки должен был переправить краденый алмаз из Англии в США своему боссу Эви. Но вместо этого герой попадает в эпицентр больших неприятностей. Сделав ставку на подпольном боксерском поединке; Френки попадает в круговорот весьма нежелательных событий.Вокруг героя и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера; троих незадачливых грабителей; хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать Большой Куш.,2000,8.536,Великобритания
Карты; деньги; два ствола ,Четверо молодых парней накопили каждый по 25 тысяч фунтов; чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником; известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч; на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу; а потом… Чтобы выйти из положения; ребята решили ограбить бандитов; решивших ограбить трех «ботаников»; выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются…,1998,8.547,Великобритания
Жизнь прекрасна ,Во время II Мировой войны в Италии в концлагерь были отправлены евреи; отец и его маленький сын. Жена; итальянка; добровольно последовала вслед за ними. В лагере отец сказал сыну; что все происходящее вокруг является очень большой игрой за приз в настоящий танк; который достанется тому мальчику; который сможет не попасться на глаза надзирателям.,1997,8.624,Италия
Брат ,Демобилизованный из армии; Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его; и он решился податься в Петербург; где; по слухам; уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто — брат был наемным убийцей…,1997,8.23,Россия
Достучаться до небес ,Судьба сводит героев картины в больнице; где врачи выносят им смертный приговор. Счет времени их жизней идет на часы. Дальнейшие события в фильме разворачиваются в стремительном темпе. Украв машину с миллионом немецких марок в багажнике; они сбегают из больницы.Их преследуют наемные убийцы; они становятся грабителями поневоле; за ними гонится полиция; они попадают в бордель. Но тем не менее продолжают мчаться вперед; навстречу своей судьбе.,1997,8.629,Германия
Леон ,Профессиональный убийца Леон; не знающий пощады и жалости; знакомится со своей очаровательной соседкой Матильдой; семью которой расстреливают полицейские; замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви; но…,1994,8.681000000000001,Франция
Собачье сердце ,Москва. 1924 год. В результате одного из своих сложнейших опытов; профессор Филипп Филиппович Преображенский делает потрясающее открытие: после пересадки гипофиза его подопытный пёс Шарик превращается в человека! Сенсационная новость мгновенно разлетелась по Москве; и принесла всемирно известному профессору очередную порцию признания. Однако радость его была недолгой: вопрос о том; что из Шарика — в последствии гражданина Шарикова — может получиться «высокая психическая личность» очень быстро становится под сомнение.,1988,8.343,СССР
Любовь и голуби ,Ликвидируя неисправность лебедки; Василий Кузякин получил травму и путевку на юг. Встретил роковую женщину Раису Захаровну и… вернулся Вася с курорта не к себе в деревню; а в дом Раисы Захаровны. Началась для него новая жизнь; в которой было много непонятного и интересного; но не было дома; где остались Надя; дети и голуби…,1984,8.263,СССР
Шерлок Холмс и доктор Ватсон: Сокровища Агры ,,1983,8.347999999999999,СССР
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей ,Труп Чарльза Баскервиля обнаруживают неподалеку от его родового поместья. Выражение нечеловеческого ужаса на лице покойника и следы крупной собаки поблизости заставляют вспомнить старинную легенду о проклятии; тяготеющем над родом Баскервилей. Шерлоку Холмсу предстоит докопаться до истины.,1981,8.599,СССР
Шерлок Холмс и доктор Ватсон: Смертельная схватка ,Шерлок Холмс вступил в смертельную схватку с главарем английской преступности профессором Мориарти. В сети полиции попали все; кроме главаря; и друзья на время решили укрыться в тихой Швейцарии. Но от гнева Мориарти ещё не ускользал никто.,1980,8.423,СССР
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра ,Доктор Ватсон рано похоронил своего друга в водах Рейхенбахского водопада. Шерлок Холмс не так прост. Он воскрес из мертвых; чтобы вступить в схватку с последним безжалостным убийцей из шайки гения преступного мира профессора Мориарти…,1980,8.379,СССР
Укрощение строптивого ,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его.,1980,8.384,Италия
Шерлок Холмс и доктор Ватсон: Король шантажа ,К Шерлоку Холмсу за помощью обращается некая леди Брекуэлл; одна из жертв известного лондонского шантажиста по имени Чарльз Огестос Милвертон. Если великий сыщик не остановит циничного негодяя; семейное благополучие молодой леди окажется под угрозой. Шерлок Холмс и доктор Ватсон как истинные джентельмены не могут отказать в помощи беззащитной женщине.,1980,8.355,СССР
Москва слезам не верит ,"Москва пятидесятых годов. Три молодые провинциалки приезжают в Москву в поисках того; что ищут люди во всех столицах мира — любви; счастья и достатка. Их судьбы складываются именно так; как предполагает характер каждой из девушек. 

Антонина выходит замуж; растит детей; любит мужа. Людмиле Москва представляется лотереей; в которой она должна выиграть свое особенное счастье. Катерина же — отчаянно влюбляется; но избранник ее оставляет. Однако она не опускает руки; в одиночку растит дочь и к тому же успевает сделать блестящую карьеру. В сорок лет судьба дарит ей встречу с прекрасным человеком и настоящую любовь…",1979,8.374,СССР
Шерлок Холмс и доктор Ватсон: Знакомство ,Молодой доктор по фамилии Ватсон возвратился из Афганистана в родной туманный Лондон. Ему нужно недорогое жилье. И вот; по совету друга; он поселяется в маленьком домике на Бейкер-стрит. Его хозяйка — милая чудаковатая старушка миссис Хадсон. Также там имеется сосед — некий мистер Шерлок Холмс. Это непонятная и таинственная личность — к нему в гости приходят оборванцы и бандиты; а иногда полицейские и лорды. Кто же он? Доктор в растерянности…,1979,8.555,СССР
Шерлок Холмс и доктор Ватсон: Кровавая надпись ,В первой серии мы оказываемся свидетелями знакомства Шерлока Холмса с доктором Ватсоном. Во второй — Шерлок Холмс раскроет тайну «кровавой надписи» и выследит загадочного неуловимого убийцу.,1979,8.413,СССР
Тот самый Мюнхгаузен ,Комическая фантазия о жизни; любви и смерти знаменитого барона Мюнхгаузена; жившего в XVIII веке и ставшего героем многих веселых книг и преданий; опирается на персонажей и эпизоды знаменитого романа Р. Распе; но по сути является самостоятельным произведением.«Мыслящий человек просто обязан время от времени поднимать себя за волосы» — похоже; это и удается авторам картины. Барон хочет жениться на любимой им Марте; но церковь отказывается обвенчать их; так как имеется живая жена; «усмирявшая его 20 лет». Уставшая Марта хочет; чтобы барон стал таким; как все; но барон этого не хочет; да и не может.Герцог разрешит брак только в том случае; если барон письменно подтвердит; что все его истории лживы; а он сам — обыкновенный человек.,1979,8.276,СССР
Служебный роман ,,1977,8.29,СССР
Блеф ,Белль Дюк имеет старые счеты с Филиппом Бэнгом; который отбывает свой срок за решёткой. Для того чтобы поквитаться с Филиппом; Белль Дюк вступает в сговор с другим аферистом по имени Феликс; чтобы тот организовал побег Филиппа Бенга из тюрьмы.Побег удаётся; но парочка заодно обманывает и Белль Дюк; исчезнув прямо из-под её носа. Выясняется; что и Филипп Бэнг; в свою очередь; не прочь отомстить Белль Дюк. Для этого он задумывает грандиозную мистификацию; сродни покерному блефу…,1976,8.232000000000001,Италия
Белый Бим Черное ухо ,Трогательная лирическая киноповесть о судьбе собаки; теряющей любимого хозяина; об отношении людей к «братьям меньшим»; которое как рентгеном просвечивает души; выявляя в одних низость и мелочную подлость; а в других — благородство; способность сострадать и любить…,1976,8.371,СССР
Ирония судьбы; или С легким паром! ,,1975,8.204,СССР
Они сражались за Родину ,Июль 1942 года. На подступах к Сталинграду обескровленные; измотанные советские войска ведут тяжелые оборонительные бои; неся огромные потери… Фильм рассказывает о подвиге рядовых солдат; любви к родной земле; об истинной цене победы…,1975,8.378,СССР
В бой идут одни «старики» ,"Эта эскадрилья стала «поющей» — так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати; но «желторотиков»; пополнение из летных училищ ускоренного выпуска; в бой все равно; по возможности; не пускали. 

Им еще многое предстояло испытать — и жар боев; и радость первой победы над врагом; и величие братства; скрепленного кровью; и первую любовь; и горечь утраты… И настанет день; когда по команде «в бой идут одни старики» бывшие желторотики бросятся к своим самолетам…",1973,8.709,СССР
Иван Васильевич меняет профессию ,Инженер-изобретатель Тимофеев сконструировал машину времени; которая соединила его квартиру с далеким шестнадцатым веком — точнее; с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский.На их место в двадцатом веке «переселяется» великий государь. Поломка машины приводит ко множеству неожиданных и забавных событий…,1973,8.782,СССР
...А зори здесь тихие ,В прифронтовой полосе группа девушек-зенитчиц вынуждена вступить в неравный бой с вражескими десантниками. Эти девчонки мечтали о большой любви; нежности; семейном тепле — но на их долю выпала жестокая война; и они до конца выполнили свой воинский долг…,1972,8.505,СССР
Джентльмены удачи ,Заведующему детсадом Трошкину фатально не повезло: он оказался как две капли воды похож на бандита по кличке «Доцент»; похитившего уникальный шлем Александра Македонского.Милиция внедряет добряка Трошкина в воровскую среду — и ему ничего не остается; кроме как старательно изображать своего двойника-злодея; путая всех окружающих. Со временем он настолько блестяще входит в роль; что сам начинает порой приходить в ужас. Между тем; жизни его угрожает смертельная опасность…,1971,8.526,СССР
12 стульев,Во время революции и последовавшего за ней краткого периода военного коммунизма многие прятали свои ценности как можно надежнее. И вот Ипполит Матвеевич Воробьянинов; бывший Старгородский предводитель дворянства и светский лев; а ныне — скромный делопроизводитель ЗАГСа; узнает от умирающей тещи; что некогда она спрятала свои бриллианты и жемчуга в общей сложности на 150 000 золотых рублей под обивку одного из двенадцати стульев гостиного гарнитура работы известного мастера Гамбса.Бросив все; Воробьянинов бросается на поиски стульев; в чем ему; конечно же; небескорыстно; берется помочь молодой авантюрист; «великий комбинатор» Остап Бендер. Найти следы разрозненного гарнитура непросто. Не облегчает положения и то; что перед смертью теща Воробьянинова открыла тайну сокровищ и своему исповеднику; отцу Федору; всю жизнь мечтавшему о собственном свечном заводике в Самаре…,1971,8.244,СССР
Офицеры ,Судьбы двух друзей — Алексея Трофимова и Ивана Вараввы — прослеживаются на протяжении многих лет. В 20-е они вместе служили на пограничной заставе; бились с басмачами. Там они; будучи еще совсем молодыми; на всю жизнь запомнили наказ своего командира: «Есть такая профессия — родину защищать». Потом Испания; Великая Отечественная война и мирные дни. Старые друзья снова встречаются; уже став генералами.,1971,8.452,СССР
Ромео и Джульетта ,На балу во дворце Капулетти зарождается любовь двух юных существ; судьбою обреченных на ненависть. Ромео Монтекки и Джульетта Капулетти полюбили друг друга на свою беду; ведь их семьи ведут смертельную вражду уже многие; многие годы…Но их любовь сильнее родовой вражды; сильнее предрассудков и непреодолимых препятствий. Великая сила этой любви побеждает все; даже смерть…,1968,8.21,Великобритания
Бриллиантовая рука ,В южном городке орудует шайка «валютчиков»; возглавляемая Шефом и его помощником Графом (в быту — Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе; на котором также плывет Граф; который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но в силу недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович; и драгоценный гипс накладывают ему. Вот тут-то все и начинается…,1968,8.516,СССР
Кавказская пленница; или Новые приключения Шурика ,Отправившись в одну из горных республик собирать фольклор; студент Шурик влюбляется в симпатичную девушку Нину — спортсменку; отличницу; комсомолку и просто красавицу. Но её внезапно похищают банда их трёх человек; чтобы насильно выдать замуж. Наивный Шурик не сразу сообразил; что творится у него под носом; — однако затем отважно ринулся освобождать кавказскую пленницу.,1966,8.457,СССР
Хороший; плохой; злой ,В разгар гражданской войны таинственный стрелок скитается по просторам Дикого Запада. У него нет ни дома; ни друзей; ни компаньонов; пока он не встречает двоих незнакомцев; таких же безжалостных и циничных.По воле судьбы трое мужчин вынуждены объединить свои усилия в поисках украденного золота. Но совместная работа — не самое подходящее занятие для таких отъявленных бандитов; как они. Компаньоны вскоре понимают; что в их дерзком и опасном путешествии по разоренной войной стране самое важное — никому не доверять и держать пистолет наготове; если хочешь остаться в живых.,1966,8.524,Италия
Операция «Ы» и другие приключения Шурика ,Фильм состоит из трех новелл; объединенных фигурой главного героя Шурика; попадающего в самые невероятные ситуации. В «Напарнике» Шурик сражается с хулиганом Верзилой; в «Наваждении» весьма оригинальным способом готовится к экзамену; в «Операции «Ы» предотвращает «ограбление века»; на которое идет знаменитая тройка — Балбес; Трус и Бывалый.,1965,8.712,СССР
Добро пожаловать; или Посторонним вход воспрещен ,Пионер Костя Иночкин; будучи в пионерском лагере; переплыл реку и оказался на запретной для посещений территории; за что и был изгнан его начальником товарищем Дыниным. Не желая доводить бабушку до инфаркта своим досрочным прибытием; мальчик тайно возвращается в лагерь; где пионеры так же тайно содержат его и предпринимают все меры; чтобы не состоялся родительский день. Ведь именно в этот день Костина бабушка заявится в лагерь…,1964,8.263,СССР
Отец солдата ,Противоестественность войны для человека — труженика; созидателя — показана на примере судьбы старого крестьянина-виноградаря из Грузии. Георгий Махарашвили едет повидаться с сыном; который ранен и находится в госпитале.Но пока отец добирается до места назначения; сын снова отправляется на фронт. Однако Георгий уже не может вернуться в родную деревню. Он вместе с советской армией проходит весь ее путь — путь до Берлина; до Победы над фашизмом.,1964,8.24,СССР
Девчата ,В сибирский поселок приехала юная повариха Тося Кислицына — наивная и эксцентричная девчонка. Она сует свой нос во все дела; каждому стремится помочь. Местный красавец Илья на спор заводит с Тосей роман; сопровождающийся массой комичных ситуаций…,1962,8.356,СССР
Судьба человека ,Фильм рассказывает о русском солдате; которого война подвергла страшным испытаниям; лишила дома и семьи; бросила в концлагерь. Но судьба не сломила его дух — он выжил; отстоял своё право быть человеком; сохранил способность любить…,1959,8.368,СССР
Баллада о солдате ,Великая Отечественная война. Молодой солдат Алёша Скворцов совершает подвиг — подбивает два немецких танка. Командование собирается представить его к ордену; но Алёша просит дать ему отпуск; чтобы повидаться с мамой. Путь домой оказывается долог и непрост.,1959,8.251,СССР
Летят журавли ,Рассказ о людях; в чьи судьбы безжалостно вторглась война. Не все смогли с честью вынести это испытание. В центре киноповести — трагическая история двух влюбленных; которых разлучила война.,1957,8.29,СССР
